xi,half_life_days,prior_sd,n,log_loss,rps,accuracy
0.002,346.5735902799726,0.25,1520,0.965345900769938,0.1992997691805455,0.5421052631578948
0.0005,1386.2943611198905,0.25,1520,0.9661974735080174,0.1996906785155748,0.5394736842105263
0.0025,277.25887222397813,0.25,1520,0.966363183289261,0.1995808079826626,0.5407894736842105
0.004,173.2867951399863,0.3,1520,0.9672118710784694,0.199749411926862,0.5388157894736842
0.0,inf,0.4,1520,0.9674805601983122,0.2001635648238953,0.5355263157894737
0.0,inf,0.6,1520,0.9676346780879788,0.2002630764484794,0.5361842105263158
0.003,231.04906018664843,0.25,1520,0.9677225839860362,0.1999714557994561,0.5407894736842105
0.0,inf,0.3,1520,0.9679176834874624,0.2002661473913125,0.5368421052631579
0.001,693.1471805599452,0.2,1520,0.9680334185265188,0.2002058334019542,0.5421052631578948
0.006,115.52453009332422,0.6,1520,0.9684123760880392,0.1998339338704093,0.5421052631578948
0.0005,1386.2943611198905,0.2,1520,0.968454061270706,0.2003743331227641,0.5401315789473684
0.0,inf,0.25,1520,0.9686227399299144,0.2004665802309087,0.5361842105263158
0.0015,462.09812037329687,0.2,1520,0.9686345259121156,0.2003556203439724,0.5440789473684211
0.006,115.52453009332422,0.4,1520,0.9692104455133024,0.2002313408363034,0.5368421052631579
0.002,346.5735902799726,0.2,1520,0.969948557824278,0.2007313094072856,0.5434210526315789
0.0,inf,0.2,1520,0.9702024999011928,0.2009402696295456,0.5342105263157895
0.004,173.2867951399863,0.25,1520,0.9710679572109956,0.2009562052738972,0.5421052631578948
0.0025,277.25887222397813,0.2,1520,0.97174140926985,0.201260352701155,0.5434210526315789
0.006,115.52453009332422,0.3,1520,0.9734402396275486,0.2015907277431761,0.5388157894736842
0.0005,1386.2943611198905,0.15,1520,0.9737453709866128,0.2020233998852577,0.5394736842105263
0.003,231.04906018664843,0.2,1520,0.9738453158380806,0.2018909658427556,0.5414473684210527
0.0,inf,0.15,1520,0.9740163645544092,0.2021261399163361,0.5401315789473684
0.001,693.1471805599452,0.15,1520,0.9749087524239374,0.202362243921346,0.5421052631578948
0.0015,462.09812037329687,0.15,1520,0.9770722354125138,0.2030197934280875,0.5394736842105263
0.004,173.2867951399863,0.2,1520,0.9785355742997937,0.2033188360057846,0.5381578947368421
0.006,115.52453009332422,0.25,1520,0.9786705769086592,0.2032470767575481,0.5381578947368421
0.002,346.5735902799726,0.15,1520,0.979856813195798,0.2038808147354785,0.5401315789473684
0.0025,277.25887222397813,0.15,1520,0.9829838752094534,0.2048590847987189,0.5388157894736842
0.003,231.04906018664843,0.15,1520,0.9862596500518596,0.2058939084131228,0.5388157894736842
0.006,115.52453009332422,0.2,1520,0.9881471386621512,0.206310476336169,0.5335526315789474
0.004,173.2867951399863,0.15,1520,0.9927879508606288,0.2079817317847347,0.5361842105263158
